Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
Sep2016_L222_05m	deduplicated	72151181.0	21789656662	72151181.0	21789656662	0	0	2019-08-24-00:06:41
Sep2016_L222_05m	filtered	71549247.0	20411217407	71066910.0	20348734689	482337	62482718	2019-08-24-01:22:53
Sep2016_L222_05m	clean	71066895.0	20348731077	71066895.0	20348731077	0	0	2019-08-24-16:11:32
Sep2016_L222_05m	QC	71549229.0	20411213371	71066895.0	20348731077	482334	62482294	2019-08-24-16:11:55
Jun2016_L227_10m	raw	44097047.0	13317308194	44097047.0	13317308194	0	0	2019-08-23-19:18:11
Jun2016_L227_10m	deduplicated	41204771.0	12443840842	41204771.0	12443840842	0	0	2019-08-24-08:55:58
Jun2016_L227_10m	filtered	40912568.0	11640786332	40486027.0	11583946947	426541	56839385	2019-08-24-11:11:19
Jun2016_L227_10m	clean	40485975.0	11583934435	40485975.0	11583934435	0	0	2019-08-26-12:27:46
Jun2016_L227_10m	QC	40912515.0	11640773697	40485975.0	11583934435	426540	56839262	2019-08-26-12:27:58
Jun2016_L221_05m	raw	82556318.0	24932008036	82556318.0	24932008036	0	0	2019-08-23-18:38:36
Jun2016_L221_05m	deduplicated	64354629.0	19435097958	64354629.0	19435097958	0	0	2019-08-24-00:23:24
Jun2016_L221_05m	filtered	63441397.0	17615828695	62824663.0	17539511559	616734	76317136	2019-08-24-02:52:23
Jun2016_L221_05m	clean	62824513.0	17539476724	62824513.0	17539476724	0	0	2019-08-24-18:09:10
Jun2016_L221_05m	QC	63441241.0	17615793081	62824513.0	17539476724	616728	76316357	2019-08-24-18:09:31
Jul2014_L442_13m	raw	27651828.0	11116034856	27651828.0	11116034856	0	0	2019-08-23-19:20:45
Jul2014_L442_13m	deduplicated	27560784.0	11079435168	27560784.0	11079435168	0	0	2019-08-24-12:10:02
Jul2014_L442_13m	filtered	27520291.0	9723763915	27383344.0	9699495522	136947	24268393	2019-08-24-13:13:08
Jul2014_L442_13m	clean	27188115.0	9622097440	27188115.0	9622097440	0	0	2019-08-31-19:50:36
Jul2014_L442_13m	QC	27324529.0	9646268863	27188115.0	9622097440	136414	24171423	2019-08-31-19:50:48
Sep2016_L442_09m	raw	73073192.0	22068103984	73073192.0	22068103984	0	0	2019-08-23-18:38:37
Sep2016_L442_09m	deduplicated	62187273.0	18780556446	62187273.0	18780556446	0	0	2019-08-24-00:37:56
Sep2016_L442_09m	filtered	61745000.0	17544656271	60848221.0	17423019517	896779	121636754	2019-08-24-04:47:10
Sep2016_L442_09m	clean	60848090.0	17422988371	60848090.0	17422988371	0	0	2019-08-24-19:47:55
Sep2016_L442_09m	QC	61744846.0	17544622085	60848090.0	17422988371	896756	121633714	2019-08-24-19:48:14
Jun2016_L224_25m	raw	58347531.0	17620954362	58347531.0	17620954362	0	0	2019-08-23-18:53:53
Jun2016_L224_25m	deduplicated	50408159.0	15223264018	50408159.0	15223264018	0	0	2019-08-24-02:29:58
Jun2016_L224_25m	filtered	49980953.0	14239737867	49321291.0	14151609581	659662	88128286	2019-08-24-09:37:05
Jun2016_L224_25m	clean	49321203.0	14151588387	49321203.0	14151588387	0	0	2019-08-25-13:12:33
Jun2016_L224_25m	QC	49980862.0	14239716242	49321203.0	14151588387	659659	88127855	2019-08-25-13:12:50
Jul2018_L111_30m	raw	20613186.0	8388333140	20613186.0	8388333140	0	0	2019-08-23-19:23:44
Jul2018_L111_30m	deduplicated	20582463.0	8375531186	20582463.0	8375531186	0	0	2019-08-24-13:19:26
Jul2018_L111_30m	filtered	20572687.0	8144054918	20508743.0	8131352489	63944	12702429	2019-08-24-13:42:03
Jul2018_L111_30m	clean	20508694.0	8131333323	20508694.0	8131333323	0	0	2019-08-31-09:01:32
Jul2018_L111_30m	QC	20572638.0	8144035752	20508694.0	8131333323	63944	12702429	2019-08-31-09:01:44
Jun2016_L442_12m	raw	57666558.0	17415300516	57666558.0	17415300516	0	0	2019-08-23-18:55:21
Jun2016_L442_12m	deduplicated	50474163.0	15243197226	50474163.0	15243197226	0	0	2019-08-24-03:17:32
Jun2016_L442_12m	filtered	49432574.0	13738475139	48420880.0	13601704931	1011694	136770208	2019-08-24-09:06:14
Jun2016_L442_12m	clean	48420819.0	13601690217	48420819.0	13601690217	0	0	2019-08-25-20:13:47
Jun2016_L442_12m	QC	49432507.0	13738459564	48420819.0	13601690217	1011688	136769347	2019-08-25-20:14:01
Sep2016_L442_15m	raw	50499896.0	15250968592	50499896.0	15250968592	0	0	2019-08-23-19:05:50
Sep2016_L442_15m	deduplicated	43525070.0	13144571140	43525070.0	13144571140	0	0	2019-08-24-05:30:41
Sep2016_L442_15m	filtered	42981232.0	12130583917	42746792.0	12100274117	234440	30309800	2019-08-24-10:35:55
Sep2016_L442_15m	clean	42746738.0	12100262033	42746738.0	12100262033	0	0	2019-08-27-07:08:03
Sep2016_L442_15m	QC	42981171.0	12130570870	42746738.0	12100262033	234433	30308837	2019-08-27-07:08:16
Jun2016_L227_06m	raw	59738025.0	18040883550	59738025.0	18040883550	0	0	2019-08-23-18:41:10
Jun2016_L227_06m	deduplicated	38091196.0	11503541192	38091196.0	11503541192	0	0	2019-08-24-01:45:14
Jun2016_L227_06m	filtered	37331896.0	10323871473	36725375.0	10242045367	606521	81826106	2019-08-24-12:58:34
Jun2016_L227_06m	clean	36725250.0	10242016322	36725250.0	10242016322	0	0	2019-08-29-07:08:39
Jun2016_L227_06m	QC	37331761.0	10323841048	36725250.0	10242016322	606511	81824726	2019-08-29-07:08:49
Sep2016_L224_21m	raw	44529849.0	13448014398	44529849.0	13448014398	0	0	2019-08-23-19:18:25
Sep2016_L224_21m	deduplicated	39278344.0	11862059888	39278344.0	11862059888	0	0	2019-08-24-09:27:29
Sep2016_L224_21m	filtered	38855583.0	11009019568	38633858.0	10980407662	221725	28611906	2019-08-24-12:50:40
Sep2016_L224_21m	clean	38633820.0	10980398772	38633820.0	10980398772	0	0	2019-08-29-05:26:24
Sep2016_L224_21m	QC	38855535.0	11009009293	38633820.0	10980398772	221715	28610521	2019-08-29-05:26:37
Sep2016_L442_17m	raw	51377242.0	15515927084	51377242.0	15515927084	0	0	2019-08-23-19:10:51
Sep2016_L442_17m	deduplicated	42855477.0	12942354054	42855477.0	12942354054	0	0	2019-08-24-06:20:55
Sep2016_L442_17m	filtered	42161691.0	11783518984	41948413.0	11755885411	213278	27633573	2019-08-24-11:28:36
Sep2016_L442_17m	clean	41948331.0	11755866363	41948331.0	11755866363	0	0	2019-08-28-02:04:10
Sep2016_L442_17m	QC	42161592.0	11783497657	41948331.0	11755866363	213261	27631294	2019-08-28-02:04:21
Sep2016_L227_10m	raw	51770001.0	15634540302	51770001.0	15634540302	0	0	2019-08-23-19:10:34
Sep2016_L227_10m	deduplicated	42956826.0	12972961452	42956826.0	12972961452	0	0	2019-08-24-06:10:56
Sep2016_L227_10m	filtered	41829323.0	11415768321	41660142.0	11395174924	169181	20593397	2019-08-24-11:45:56
Sep2016_L227_10m	clean	41660068.0	11395157856	41660068.0	11395157856	0	0	2019-08-28-22:41:33
Sep2016_L227_10m	QC	41829243.0	11415750444	41660068.0	11395157856	169175	20592588	2019-08-28-22:41:50
Sep2016_L239_10m	raw	60690985.0	18328677470	60690985.0	18328677470	0	0	2019-08-23-18:44:56
Sep2016_L239_10m	deduplicated	52302188.0	15795260776	52302188.0	15795260776	0	0	2019-08-24-02:06:49
Sep2016_L239_10m	filtered	48601435.0	13666681650	47600082.0	13532284404	1001353	134397246	2019-08-24-08:14:30
Sep2016_L239_10m	clean	47599907.0	13532242544	47599907.0	13532242544	0	0	2019-08-25-17:28:35
Sep2016_L239_10m	QC	48601232.0	13666636199	47599907.0	13532242544	1001325	134393655	2019-08-25-17:28:50
Jun2016_L304_06m	raw	57205692.0	17276118984	57205692.0	17276118984	0	0	2019-08-23-18:54:36
Jun2016_L304_06m	deduplicated	50557331.0	15268313962	50557331.0	15268313962	0	0	2019-08-24-02:41:07
Jun2016_L304_06m	filtered	50098475.0	14266625085	49571887.0	14195113403	526588	71511682	2019-08-24-08:24:26
Jun2016_L304_06m	clean	49571796.0	14195091966	49571796.0	14195091966	0	0	2019-08-25-12:00:38
Jun2016_L304_06m	QC	50098378.0	14266602790	49571796.0	14195091966	526582	71510824	2019-08-25-12:00:54
Jul2018_L239_20m	raw	32516175.0	13244482376	32516175.0	13244482376	0	0	2019-08-23-19:09:57
Jul2018_L239_20m	deduplicated	32466003.0	13223862759	32466003.0	13223862759	0	0	2019-08-24-06:01:03
Jul2018_L239_20m	filtered	32336568.0	12760690177	32118425.0	12717567704	218143	43122473	2019-08-24-08:46:44
Jul2018_L239_20m	clean	32118339.0	12717531814	32118339.0	12717531814	0	0	2019-08-25-18:48:45
Jul2018_L239_20m	QC	32336481.0	12760654036	32118339.0	12717531814	218142	43122222	2019-08-25-18:48:59
Sep2016_L239_20m	raw	47287258.0	14280751916	47287258.0	14280751916	0	0	2019-08-23-19:13:32
Sep2016_L239_20m	deduplicated	42529401.0	12843879102	42529401.0	12843879102	0	0	2019-08-24-07:01:01
Sep2016_L239_20m	filtered	41865461.0	11876651621	41360126.0	11808424723	505335	68226898	2019-08-24-11:37:23
Sep2016_L239_20m	clean	41360071.0	11808411928	41360071.0	11808411928	0	0	2019-08-28-00:27:57
